ts_code,trade_date,open,high,close,low,vol
513130.SH,20220325,0.557,0.565,0.532,0.53,11090503.73
513130.SH,20220328,0.534,0.555,0.545,0.525,11633349
513130.SH,20220329,0.553,0.562,0.557,0.551,6156883
513130.SH,20220330,0.569,0.573,0.566,0.558,6872324
513130.SH,20220331,0.564,0.565,0.552,0.549,4856521
513130.SH,20220401,0.538,0.549,0.546,0.531,5863686
513130.SH,20220406,0.563,0.565,0.563,0.557,5575191
513130.SH,20220407,0.55,0.565,0.546,0.545,6624337
513130.SH,20220408,0.541,0.542,0.537,0.529,6458844
513130.SH,20220411,0.532,0.532,0.509,0.508,7095050
513130.SH,20220412,0.519,0.526,0.522,0.502,9729115
513130.SH,20220413,0.514,0.525,0.518,0.51,5999899.01
513130.SH,20220414,0.526,0.529,0.526,0.52,5391646
513130.SH,20220415,0.52,0.52,0.516,0.513,1742437
513130.SH,20220418,0.512,0.513,0.51,0.508,1306687.81
513130.SH,20220419,0.513,0.519,0.507,0.505,4268863
513130.SH,20220420,0.509,0.516,0.507,0.505,4065416
513130.SH,20220421,0.496,0.501,0.491,0.486,6653701
513130.SH,20220422,0.477,0.499,0.493,0.475,8615268
513130.SH,20220425,0.484,0.491,0.474,0.473,6996109
513130.SH,20220426,0.486,0.504,0.492,0.484,8228731.97
513130.SH,20220427,0.487,0.503,0.501,0.485,10248256
513130.SH,20220428,0.509,0.511,0.511,0.499,11019231.78
513130.SH,20220429,0.515,0.562,0.56,0.513,20263374
513130.SH,20220505,0.555,0.555,0.543,0.542,7338215
513130.SH,20220506,0.519,0.526,0.515,0.513,9408669
513130.SH,20220509,0.503,0.504,0.502,0.498,3406320
513130.SH,20220510,0.486,0.506,0.502,0.484,9931989
513130.SH,20220511,0.5,0.532,0.516,0.499,13030715.44
513130.SH,20220512,0.506,0.515,0.502,0.499,10614496.16
513130.SH,20220513,0.513,0.524,0.523,0.512,9428613.75
513130.SH,20220516,0.539,0.541,0.523,0.519,8957948
513130.SH,20220517,0.537,0.553,0.552,0.533,12953070
513130.SH,20220518,0.55,0.553,0.546,0.538,11272620
513130.SH,20220519,0.528,0.537,0.533,0.524,13191591
513130.SH,20220520,0.546,0.551,0.549,0.542,11377800
513130.SH,20220523,0.548,0.549,0.535,0.532,12733968.15
513130.SH,20220524,0.531,0.536,0.512,0.511,12407189.6
513130.SH,20220525,0.511,0.52,0.519,0.51,8526584
513130.SH,20220526,0.521,0.523,0.518,0.509,11357064
513130.SH,20220527,0.543,0.547,0.537,0.533,11468835
513130.SH,20220530,0.545,0.555,0.554,0.543,10682082.76
513130.SH,20220531,0.554,0.575,0.57,0.552,12284857.76
513130.SH,20220601,0.566,0.574,0.567,0.56,9099014
513130.SH,20220602,0.56,0.564,0.564,0.555,8815465
513130.SH,20220606,0.57,0.58,0.579,0.563,11730028.99
513130.SH,20220607,0.585,0.597,0.589,0.579,12192766
513130.SH,20220608,0.6,0.612,0.612,0.599,10271312.97
513130.SH,20220609,0.626,0.628,0.601,0.597,11152725.6
513130.SH,20220610,0.59,0.621,0.616,0.587,10880212
513130.SH,20220613,0.6,0.611,0.594,0.59,10426811
513130.SH,20220614,0.585,0.598,0.598,0.578,11215088.01
513130.SH,20220615,0.605,0.612,0.601,0.6,11293814
513130.SH,20220616,0.608,0.613,0.585,0.584,12329809
513130.SH,20220617,0.578,0.599,0.595,0.575,11069948
513130.SH,20220620,0.594,0.597,0.597,0.583,9938680.63
513130.SH,20220621,0.6,0.61,0.606,0.592,9270267.02
513130.SH,20220622,0.609,0.61,0.591,0.59,9168974
513130.SH,20220623,0.594,0.603,0.601,0.586,10632776
513130.SH,20220624,0.607,0.625,0.624,0.605,9900549
513130.SH,20220627,0.63,0.656,0.645,0.63,18459150.88
513130.SH,20220628,0.644,0.657,0.654,0.632,15408729
513130.SH,20220629,0.647,0.652,0.63,0.626,17507581
513130.SH,20220630,0.63,0.638,0.623,0.617,14394891
513130.SH,20220701,0.625,0.626,0.618,0.615,3198021.18
513130.SH,20220704,0.62,0.629,0.627,0.614,11204170
513130.SH,20220705,0.635,0.639,0.625,0.621,9912150.54
513130.SH,20220706,0.627,0.63,0.61,0.604,11698608
513130.SH,20220707,0.607,0.615,0.611,0.597,8925749
513130.SH,20220708,0.622,0.624,0.615,0.611,10546378
513130.SH,20220711,0.604,0.606,0.59,0.589,11352174
513130.SH,20220712,0.586,0.592,0.583,0.579,9663669
513130.SH,20220713,0.587,0.595,0.588,0.582,9188863
513130.SH,20220714,0.588,0.597,0.59,0.584,7522996
513130.SH,20220715,0.582,0.588,0.574,0.573,9358273
513130.SH,20220718,0.576,0.59,0.59,0.567,10142321.04
513130.SH,20220719,0.588,0.59,0.582,0.578,8220692
513130.SH,20220720,0.592,0.597,0.593,0.59,7714764
513130.SH,20220721,0.588,0.598,0.592,0.587,8901165
513130.SH,20220722,0.599,0.603,0.594,0.59,6162797.08
513130.SH,20220725,0.587,0.59,0.584,0.579,8698883
513130.SH,20220726,0.588,0.595,0.593,0.584,5961743.58
513130.SH,20220727,0.586,0.59,0.584,0.583,4834674
513130.SH,20220728,0.59,0.593,0.586,0.585,7555073.4
513130.SH,20220729,0.587,0.588,0.556,0.555,13696259
513130.SH,20220801,0.551,0.563,0.56,0.548,7887823
513130.SH,20220802,0.55,0.55,0.542,0.534,9719525
513130.SH,20220803,0.55,0.557,0.547,0.546,8652140
513130.SH,20220804,0.56,0.566,0.564,0.557,7024765
513130.SH,20220805,0.569,0.571,0.57,0.564,5973214
513130.SH,20220808,0.565,0.568,0.562,0.559,6065829
513130.SH,20220809,0.561,0.563,0.556,0.552,7344843.51
513130.SH,20220810,0.554,0.554,0.537,0.535,10152505.51
513130.SH,20220811,0.546,0.558,0.556,0.546,10022454.14
513130.SH,20220812,0.561,0.564,0.561,0.556,6578060.24
513130.SH,20220815,0.558,0.568,0.561,0.558,5430958.59
513130.SH,20220816,0.565,0.567,0.548,0.542,7868315.99
513130.SH,20220817,0.553,0.556,0.552,0.544,6440157.3
513130.SH,20220818,0.551,0.552,0.545,0.544,6006492
513130.SH,20220819,0.542,0.553,0.546,0.541,6511797
513130.SH,20220822,0.542,0.548,0.545,0.54,4914064
513130.SH,20220823,0.545,0.549,0.541,0.539,4728913
513130.SH,20220824,0.544,0.544,0.53,0.528,6670047
513130.SH,20220825,0.537,0.554,0.553,0.536,8819847.09
513130.SH,20220826,0.567,0.57,0.561,0.56,9171140
513130.SH,20220829,0.558,0.566,0.562,0.555,5417299.01
513130.SH,20220830,0.563,0.564,0.555,0.545,6596281
513130.SH,20220831,0.548,0.574,0.564,0.546,7291336.74
